frame,sim_t,state,yellow_frac,n_raw,n_filt,cx,err,steer,nolf,lidar,n_obj,top_model,top_color,top_area,top_px,bus_str
79,0.80,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,58.84,20,road,RGB(0.200,0.200,0.200),8001,64,0
80,0.81,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,58.81,20,road,RGB(0.200,0.200,0.200),8001,64,0
81,0.82,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,58.78,20,road,RGB(0.200,0.200,0.200),8001,64,0
82,0.83,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,58.74,20,road,RGB(0.200,0.200,0.200),8001,64,0
83,0.84,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,58.71,20,road,RGB(0.200,0.200,0.200),8001,64,0
84,0.85,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,58.68,20,road,RGB(0.200,0.200,0.200),8001,64,0
85,0.86,LINE_FOLLOW,0.034,2,2,98.8,-0.013,-0.0037,0,58.64,20,road,RGB(0.200,0.200,0.200),8001,64,0
86,0.87,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0063,0,58.61,20,road,RGB(0.200,0.200,0.200),8001,64,0
87,0.88,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.57,20,road,RGB(0.200,0.200,0.200),8001,64,0
88,0.89,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.54,20,road,RGB(0.200,0.200,0.200),8001,64,0
89,0.90,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.50,20,road,RGB(0.200,0.200,0.200),8001,64,0
90,0.91,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.46,20,road,RGB(0.200,0.200,0.200),8001,64,0
91,0.92,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.43,20,road,RGB(0.200,0.200,0.200),8001,64,0
92,0.93,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.39,20,road,RGB(0.200,0.200,0.200),8001,64,0
93,0.94,LINE_FOLLOW,0.034,2,2,98.5,-0.015,-0.0044,0,58.35,20,road,RGB(0.200,0.200,0.200),8001,64,0
